Name,Biography,Title,Abstract
Daniel C. Jones,"A graduate student at the University of Washington and author of several Julia packages, most notably Gadfly.","BioJulia: A modern bioinformatics framework
","The past decade, DNA sequencing has become dramatically cheaper, faster, and more accurate. Though a revolution for molecular biology research, the increased emphasis on deep sequencing has made bioinformatics software development increasingly inaccessible to non-expert programmers. While Perl, Python, and its ilk were ideal tools ten years ago, the avalanche of data has necessitated a new generation of highly specific standalone C/C++ tools that, while efficient, lack composability and create a high barrier to entry for contributors and reviewers.

With [BioJulia](https://github.com/BioJulia) we have begun building a Julia framework for computational biology research that is competitive in performance with C/C++ tools while retaining the accessibility and freedom afforded by traditional high-level languages. With a rigorous testing and code review regime, we have emphasized correctness along with speed, laying the groundwork for a vibrant ecosystem of open bioinformatics software.
"
Spencer Lyon,"Spencer Lyon is a 2nd year PhD student at NYU studying economics. He has a background in physics. Spencer’s research interests are broadly contained in the subfield of macro-economics, with particular emphasis on asset pricing and international modeling. Spencer is a devoted open source hacker who hails from the Python world. He is the main author of the QuantEcon.jl package and one of the core members of the quant-econ team. ","Methods, Models, and Moments: Julian Economics","There was a time when economics focused on elegant models of frictionless worlds, but it's now well understood that in order for economic models to replicate real world data series they must include many frictions. The field of economics is in the process of moving from a pen and paper science to a highly computationally intensive science. In short, economists are a huge academic community moving into the computational sphere and starting to explore the new generation of programming tools. As such, now is a very promising time for interaction between the Julia and economics communities. 

The goal of this talk is to introduce Julia users to some of the distinguishing features of computational economics. Among these are dynamic stochastic optimization, statistical inference and data analysis, and stochastic simulation. We will explore the [QuantEcon.jl](https://github.com/QuantEcon/QuantEcon.jl) package and how Julia's expressive type system and advanced compiler make Julia an excellent language for economists."
Kyle Barbary,I am a Cosmology Data Science Fellow at UC Berkeley and the Berkeley Institute for Data Science. I manage several JuliaAstro packages and wrote the Dierckx.jl wrapper for 1-d and 2-d splines.,JuliaAstro,"I will discuss the state of Julia astronomy packages and the small but growing JuliaAstro organization. In the larger astronomy community, many have been moving towards Python over the last decade and this transition is still underway.  I will give some perspective on the prospects for the adoption of Julia in astronomy."
Katharine Hyatt,,Quantum Statistical Simulations with Julia,"Using high-performance computing to probe quantum systems is becoming more and more common in condensed matter physics research. Many of the commonly used languages and techniques in this space are either difficult to learn or not performant. Julia has allowed us to quickly develop and test codes for a variety of commonly used algorithms, including exact diagonalization, DMRG, and quantum Monte Carlo. Its parallel features, including MPI and GPGPU integration, make it particularly attractive for many quantum simulations. I'll discuss what features of Julia have been most useful for us when working on these simulations and the developments we're most excited about."
David Beach,"David Beach has over 15 years of experience developing scientific software, primarily in the finance and defense sectors, and currently designs simulation and target tracking software for the SSA team at Numerica.  Over the past year, he's started using Julia for some small projects, and is turning into a staunch advocate.",Introducing Julia into a Python/C++ Scientific Computing Environment,"Numerica's Space Situational Awareness (SSA) team develops advanced software for tracking satellites.  Most of our software is written in Python, C++, or a hybrid of these.  We have become accustomed to making trade-offs between ease of development and performance.  In this talk, I will highlight some reasons why Julia could be a game-changer for us, with examples involving problems related to satellite tracking."
Art Diky,"I am a PhD student in Computer Science at City University of New York (CUNY). My research interests are in the areas of machine learning, in particular unsupervised learning and pattern recognition, distributed computation and reinforcement learning. I am vivid Julia enthusiast. I wrote several Julia packages, including ManifoldLearning.jl and Evolutionary.jl, and contributed in testing and error fixing to many other packages.",Climate classification and clustering with Julia,"We investigate an objective approach to classifying world climate. We compare linear manifold and K-means clustering methods to derive a classification of climate types using long-term monthly climate data sets. Climate clusters are compared to the Köppen-Geiger climate classification system and analyzed where climate class boundaries change.
Julia language was a main tool used to perform climate data analysis, clustering and reporting. We used Julia to implement the linear manifold (LM) clustering algorithm, LMCLUS.jl, which performs a stochastic search to determine a best location of a bounded LM surrounded by a cluster. Julia provided an outstanding matrix multiplication performance and a parallel computation paradigm which we used in search of a best cluster subspace, along with computationally intensive sensitivity and validation analysis of the clustering results. In our research, we used NetCDF.jl for a data management, Clustering.jl for other clustering methods, Gadfly.jl and RCall.jl for visualizations.
This is a joint work of NASA Goddard Institute for Space Studies (GISS) and Graduate Center City University manifoldof New York."
Simon Danisch,"I develop infrastructure for Julia's 3D Graphic stack, which I want to utilize for interactive, visual programming.

I've created the following packages for that purpose:
Romeo,
GLPlot,
GLAbstraction, 
GLDraw,
GLText,
GLWindow,
ModernGL,
FixedSizeArrays","Hypersignals, a bold vision for interactive Data Visualization","How can Julia + LLVM + Vulkan(OpenGL 5.0) completely change how we program and interact with data?
This is a talk about how a signal based event system can implement bold visions like visual debugging of large data sets, or interactive data visualization like envisioned by Bret Victor.
I will introduce the problems that arise from interactive, high performance visualizations and how they can be solved with state of the art technology."
Jack Minardi,"Jack Minardi is Co-Founder at Voxel8, where he leads the software team. Voxel8 has created the world’s first multi-material 3D printer for fabricating embedded electronics and other novel devices. Prior to working at Voxel8 Jack was a researcher in the Lewis Lab at Harvard University where he developed software for 3D printing. Jack earned a B.S. in electrical engineering from Vanderbilt University.","3D Printing with Julia: Presenting ""Euclid"", a new high performance multimaterial slicer","_Euclid_ is a high performance multimaterial slicer written in Julia. At Voxel8 we have developed the first multimaterial 3D printer capable of producing fully functional electronics, and we needed a new slicer to drive it. Julia is used in production at Voxel8 to convert 3D models into a toolpath the printer executes to build up the model in a process known as ""slicing"". _Euclid_ is a command line application at its core, but we have put it in a Docker container and written a RESTful front-end to interact with it.

This talk will cover our experiences using Julia in production, using `Cxx.jl` to interface with C++ libraries, as well as some more general 3D printing concepts like:

* Mesh file formats (STL, OBJ)
* ""Slicing"" the mesh into layers
* Clipping and insetting
* Thermoplastic extrusion properties."
Josef Heinen,"Josef Heinen is the head of the group ""Scientific IT-Systems"" at the Peter Grünberg Institute / Jülich Centre for Neutron Science, both institutes at Forschungszentrum Jülich, a leading research centre in Germany. The design and development of visualization systems have been an essential part of his activities over the last twenty years. He is involved in several Open Source projects like GLI or GKS. Most recently his team is engaged with the further development of a universal framework for cross-platform visualization applications (GR Framework).",GR.jl - Plotting for Julia based on GR,"Julia is an accepted high-level scripting language for scientific computing and visualization, not least because of the proliferation of libraries such as Gadfly and PyPlot. However, when processing large amounts of data, in particular in combination with three-dimensional plotting (OpenGL), the existing graphics packages are too application-specific or seem to be reaching their limits. In particular, large amounts of data or the visualization of three-dimensional scenes may overwhelm the system.

This presentation shows how visualization applications with special performance requirements can be designed on the basis of GR, a high-performance visualization library for Linux, OS X and Windows. The lecture also introduces a new graphics backend for PyPlot based on the GR framework. By combining the power of those libraries the responsiveness of animated visualization applications and their resulting frame rates can be improved significantly. This in turn allows the use of PyPlot in real-time environments, for example in the area of signal processing.

Using concrete examples, the presentation will demonstrate the benefits of the [GR framework](http://gr-framework.org/) for high-performance graphics or as a companion module for PyPlot. Based on selected applications, the suitability of the GR framework will be highlighted especially in environments where time is critical. The system’s performance capabilities will be illustrated using demanding live applications. In addition, the special abilities of the GR framework are emphasized in terms of interoperability with OpenGL, which opens up new possibilities for existing applications. "
Mike Innes,"I'm a Physics student from the UK who mostly works on Julia when I should be studying. I have a few more-or-less useful projects but the most popular is Juno, a Julia environment I started work on as part as Google Summer of Code, and which now has thousands of users. Recently I've also worked on bringing a much-needed documentation system to Julia 0.4.",Building web-powered applications in Julia,"I'll talk about a path less traveled by most Julia developers: making desktop and web applications. Using the nascent Blink.jl library, I'll demonstrate just what it's capable of via some of the graphical developer tools I've been working on, and I'll show you how quick and easy it is to make user-friendly interfaces for your own applications by building some live from scratch. Finally, we should get a chance to talk about the Julia tools we want to build next, taking advantage of this technology."
