Name,Biography,Title,Abstract
Jeff Bezanson,,Invited talk,TBC
Jake Bolewski,"Jake Bolewski has been using Julia for about a year and a half and currently works in the Julia group at MIT. In a past life he was a biologist working in the area of super-resolution / single molecule microscopy.",Work towards a pure Julia compiler frontend,"Julia's compiler is implemented in three different programming languages, Scheme, Julia, and C/C++. This separation is an issue as it reduces modularity in the compiler and makes implementing new language features and optimizations difficult. As Julia begins to mature, I argue that now is the right time to start thinking about replacing parts of the compiler with Julia code. The most natural place to start is the compiler frontend which is currently written in Scheme. I will demo some work towards rewriting parts of the frontend in pure Julia. I hope to demonstrate that a pure Julia frontend will be beneficial in terms of features, performance, and opportunities for tool integration."
Westley Hennigh,"Westley Hennigh has been working with Julia since late 2012. He built a system for running models written in Julia across machines in my butt, has contributed to the language, and maintains a variety of packages.",Who optimizes the optimizers? Can genetic algorithms help us to optimize the layout of llvm IR passes used to compile Julia code?,"I’ve [started a project](https://github.com/WestleyArgentum/pass-optimizer) which configures Julia to load IR passes dynamically and runs a genetic algorithm that features [synapsing variable length crossover](https://books.google.com/books?id=3haO5vOc12cC&pg=PA198&lpg=PA198&ots=xIjc04cd22&sig=gzUjpqLzEy9w2VLtawMTs9TQ9_Q&hl=en&sa=X&ei=nkIjVdqDF4edsAWFpoGgBg&ved=0CFsQ6AEwBw#v=onepage). We’ll discuss the challenges involved in measuring the performance of IR pass layouts, the algorithm, and the results so far."
Keno Fischer,"Originally from Germany, Keno Fischer is currently finishing is Master's and Bachelor's degrees in Physics and Mathematics at Harvard University. Keno has contributed to Julia core development for more than three years, contributing such features as the Windows port, the improved REPL as well as numerous other bug fixes and minor improvements. Additionally, he is the author of a large variety of Julia packages, including SIUnits.jl, BinDeps.jl and Cxx.jl. Since last year, Keno has also been working with Julia Computing, aiming to make Julia viable not just in research, but in industry as well.","Shaving the Yak: Why Julia now has one of the best C++ FFIs and what to do with it","At last years JuliaCon, I presented two highly experimental projects I was working on the Julia C++ FFI, Cxx.jl and an LLDB-based debugger for Julia. Since last year, the C++ FFI has been completely
rewritten based on staged functions, has gained an interactive C++ REPL mode and has reached a
point where it has become useful, not only as a toy research project but has become usable for real
applications. In this follow-on talk, I will demonstrate these new capabilities and explain how to use
them to interact with C++ libraries. Additionally, I will given an update on the (still experimental, but improved) LLDB-based debugger, discussing what features are ready, what problems exist and what the future holds."
Mauro Werder,"I am a glaciologist, specializing in simulations of water flow at the base of glaciers.  In the Julia community, I am probably mostly known for my experimental package Traits.jl which brings interface/trait/type-class based programming to Julia.","Traits.jl, interfaces for Julia","[Traits.jl](https://github.com/mauro3/Traits.jl) is an experimental package which brings interface/trait/type-class based programming to Julia.  Traits.jl implements two main features: (1) to group types, or tuples of types, into sets (traits) disconnected from the type hierarchy; and (2) to define methods which dispatch on those traits.  The grouping is achieved by specifying certain constraints which a type has to fulfill, typically implementing certain functions but other constraints are allowed too.  For example, a trait `Plus{X,Y}` could be defined as the set of all type tuples `(X,Y)` such that a method `+(::X,::Y)` exists.  Note that this set is (automatically) expanded as new methods to `+` are added. The dispatch on traits is implemented on top of the normal type-dispatch.  For example, `foo{X, Y; Plus{X,Y}}(x::X, y::Y) = ...` would define a method which is dispatched to for all `(X,Y) ∈ Plus{X,Y}`.

I will present the following: a simple example on how Traits.jl works and can be useful; its inner workings; and use-cases in Base and for packages.  I hope to have a discussion on features, roadblocks, a more stable implementation, and whether something like this would be useful for Base."
Jacob Quinn,"Currently a technical consultant at Domo in Utah. Just graduated from Carnegie Mellon in Pittsburgh. Developing Julia for about 3 years now, and own/maintain the ODBC, SQLite, SuffixArrays, TimeZones, Dates, and Yelp packages, as well as the Sublime-IJulia package for Sublime Text. Also been involved in several significant projects involve Base Julia functionality.",What Happens When: From Parse-Time to Compile-Time,"Anyone who has poked around the Julia manual has come across a variety of terms and quick descriptions of what happens when code gets compiled. Quips of 'macro this', and 'staged function that', parse-time, compile-time, code lowering, type inference, aggressive specialization, and the list goes on.

Finally, the entire process is all brought together and made sensible; fear the JIT no more."
Douglas Bates,"U. of Wisconsin - Madison","Mixing it up: Adventures with statistical models and sparse matrices","
Estimating the parameters in a 'mixed-effects' model (also called
'variance components' or 'hierarchical' or 'multilevel') requires
optimizing a log-likelihood.  Until recently it was not possible to
fit models with multiple non-nested sources of variability such as
'subject' and 'item' or longitudinal data on 'student', 'classroom',
'school', 'district', etc.  The introduction of sparse matrix
representations and some clever re-arrangement of terms in the
log-likelihood made it possible to evaluate the log-likelihood by
solving a large, sparse penalized least square problem.  But current
implementations can still take days to optimize this criterion for
complicated models fit to large data sets, because the sparse matrix
methods can't take advantage of the special structure in the problem.
Because Julia combines the flexibility of a high-level language with
the capability of achieving high performance, it is possible to
exploit these special structures, in many cases reducing the time to
fit a model by one or two orders of magnitude.  User-defined types,
multiple dispatch, in-place evaluation, and devectorization are key
characteristics of Julia for this application."
Jack Poulson,"Jack Poulson is the lead developer of Elemental, a distributed-memory library for direct linear algebra and optimization, and an Assistant Professor of Mathematics and Member of the Institute for Computational and Mathematical Engineering at Stanford University. He has contributed a native Julia multifrontal Cholesky (MultiFrontalCholesky.jl) and is a contributor to Elemental.jl, which will provide distributed-memory dense linear algebra, sparse-direct solvers, and Interior Point Methods to Julia.","Distributed-memory ""direct"" linear algebra and optimization","This talk will give a broad overview of recent algorithmic developments within the C++11/MPI library [Elemental](http://libelemental.org) and ongoing efforts to expose interfaces to external languages (i.e., C, Python, and Julia). In particular, the talk will discuss recent advancements in Elemental's distributed a priori regularized quasi-semidefinite sparse-direct solvers, their application to sparse Interior Point Methods and sparse generalized least squares problems, and progress towards interactive interfaces on large-scale machines."
Zhang Xianyi,,Introduction to OpenBLAS and BLIS,"The BLAS (Basic Linear Algebra Subprograms) is a fundamental interface in scientific computing. In this talk, I will introduce the [OpenBLAS](http://www.openblas.net/) and [BLIS](https://github.com/flame/blis) projects. OpenBLAS is an optimized open source BLAS implementation based on GotoBLAS2, and the default BLAS library used in Julia. OpenBLAS supports modern Intel, AMD, and ARM processors. By hand-written or automatically generated (via the AUGEM) assembly kernels, we can achieve competitive performance with vendor BLAS libraries.

BLIS is a portable framework for instantiating BLAS-like libraries. The framework was designed to isolate essential kernels of computation that, when optimized, immediately enable optimized implementations of most of its commonly used and computationally intensive operations.
"
Viral,https://in.linkedin.com/in/viralbshah,The present and future of sparse matrices in Julia.,"In this talk, I will describe the current status of sparse matrices in Julia. About half the talk will focus on walking the audience through the current design, and feature set. The other half will focus on tensions in the current design, what different people want from sparse matrices, and a discussion on how to take this forward."
